team,cs2team,cse3score,cse2score,cse1score,id,newColumn,rankSE3,rankSE2,rankSE1,cse3scoreMax,cse3scoreMin,cse2scoreMax,cse2scoreMin,cse1scoreMax,cse1scoreMin,MeanRankingSE2_3,coefficient
41,41,90,84,80,141250027,4190,13,94,103,90.0,90.0,95.0,82.0,95.0,69.0,17.4375,Infinity
41,6,90,82,69,141250033,690,13,122,162,90.0,90.0,95.0,82.0,95.0,69.0,17.4375,Infinity
41,18,90,90,94,141250110,1890,13,36,8,90.0,90.0,95.0,82.0,95.0,69.0,17.4375,Infinity
42,45,81,89,88,141250016,4581,112,44,37,81.0,81.0,95.0,0.0,88.0,0.0,17.4375,Infinity
42,18,81,0,0,131250171,1881,112,212,212,81.0,81.0,95.0,0.0,88.0,0.0,17.4375,Infinity
42,38,81,94,80,141250039,3881,112,9,103,81.0,81.0,95.0,0.0,88.0,0.0,17.4375,Infinity
42,45,81,95,81,141250190,4581,112,5,93,81.0,81.0,95.0,0.0,88.0,0.0,17.4375,Infinity
43,30,81,76,81,141250051,3081,112,165,93,81.0,81.0,90.0,76.0,88.0,76.0,17.4375,Infinity
43,2,81,90,76,141250090,281,112,36,131,81.0,81.0,90.0,76.0,88.0,76.0,17.4375,Infinity
43,22,81,86,79,141250138,2281,112,66,112,81.0,81.0,90.0,76.0,88.0,76.0,17.4375,Infinity
43,22,81,86,88,141250126,2281,112,66,37,81.0,81.0,90.0,76.0,88.0,76.0,17.4375,Infinity
44,38,85.5,90,88,141250030,3885.5,65,36,37,85.5,85.5,96.0,80.0,91.0,81.0,17.4375,Infinity
44,8,85.5,96,91,141250031,885.5,65,3,19,85.5,85.5,96.0,80.0,91.0,81.0,17.4375,Infinity
44,8,85.5,93,84,141250037,885.5,65,14,66,85.5,85.5,96.0,80.0,91.0,81.0,17.4375,Infinity
44,27,85.5,80,81,141250035,2785.5,65,141,93,85.5,85.5,96.0,80.0,91.0,81.0,17.4375,Infinity
45,36,87.5,91,95,141250174,3687.5,37,25,4,87.5,87.5,91.0,86.0,95.0,89.0,17.4375,Infinity
45,36,87.5,90,90,141250181,3687.5,37,36,22,87.5,87.5,91.0,86.0,95.0,89.0,17.4375,Infinity
45,36,87.5,87,89,141250191,3687.5,37,60,28,87.5,87.5,91.0,86.0,95.0,89.0,17.4375,Infinity
45,36,87.5,86,89,141250194,3687.5,37,66,28,87.5,87.5,91.0,86.0,95.0,89.0,17.4375,Infinity
46,35,75.5,82,75,141250171,3575.5,170,122,140,75.5,75.5,88.0,77.0,84.0,70.0,17.4375,Infinity
46,35,75.5,77,70,141250173,3575.5,170,159,160,75.5,75.5,88.0,77.0,84.0,70.0,17.4375,Infinity
46,29,75.5,88,84,141250176,2975.5,170,53,66,75.5,75.5,88.0,77.0,84.0,70.0,17.4375,Infinity
46,35,75.5,86,76,141250196,3575.5,170,66,131,75.5,75.5,88.0,77.0,84.0,70.0,17.4375,Infinity
47,14,84,81,75,141250058,1484,73,131,140,84.0,84.0,89.0,74.0,88.0,73.0,17.4375,Infinity
47,41,84,86,82,141250068,4184,73,66,84,84.0,84.0,89.0,74.0,88.0,73.0,17.4375,Infinity
47,11,84,74,73,141250081,1184,73,174,149,84.0,84.0,89.0,74.0,88.0,73.0,17.4375,Infinity
47,41,84,89,88,141250085,4184,73,44,37,84.0,84.0,89.0,74.0,88.0,73.0,17.4375,Infinity
48,31,86.5,83,77,141250094,3186.5,57,105,124,86.5,86.5,92.0,83.0,96.0,77.0,17.4375,Infinity
48,2,86.5,84,85,141250091,286.5,57,94,58,86.5,86.5,92.0,83.0,96.0,77.0,17.4375,Infinity
48,2,86.5,88,79,141250079,286.5,57,53,112,86.5,86.5,92.0,83.0,96.0,77.0,17.4375,Infinity
48,18,86.5,92,96,141250216,1886.5,57,18,2,86.5,86.5,92.0,83.0,96.0,77.0,17.71875,Infinity
49,24,83,86,88,141250178,2483,80,66,37,83.0,83.0,86.0,83.0,89.0,82.0,17.71875,Infinity
49,46,83,86,82,141250192,4683,80,66,84,83.0,83.0,86.0,83.0,89.0,82.0,17.71875,Infinity
49,24,83,85,89,141250195,2483,80,84,28,83.0,83.0,86.0,83.0,89.0,82.0,17.71875,Infinity
49,40,83,83,86,141250212,4083,80,105,53,83.0,83.0,86.0,83.0,89.0,82.0,17.71875,Infinity
50,20,90,92,81,141250145,2090,13,18,93,90.0,90.0,92.0,86.0,87.0,81.0,17.859375,Infinity
50,20,90,90,83,141250150,2090,13,36,76,90.0,90.0,92.0,86.0,87.0,81.0,17.859375,Infinity
50,20,90,86,85,141250109,2090,13,66,58,90.0,90.0,92.0,86.0,87.0,81.0,17.859375,Infinity
50,20,90,89,87,141250118,2090,13,44,48,90.0,90.0,92.0,86.0,87.0,81.0,17.859375,Infinity
51,53,50,25,40,141250056,5350,204,208,202,65.0,50.0,78.0,25.0,71.0,40.0,17.859375,Infinity
51,48,65,65,71,141250057,4865,194,198,155,65.0,50.0,78.0,25.0,71.0,40.0,17.859375,Infinity
51,43,50,78,61,141250101,4350,204,157,186,65.0,50.0,78.0,25.0,71.0,40.0,17.859375,Infinity
51,48,50,62,44,141250105,4850,204,201,200,65.0,50.0,78.0,25.0,71.0,40.0,17.859375,Infinity
52,50,63,77,65,141250132,5063,198,159,174,64.0,60.0,83.0,36.0,75.0,18.0,17.859375,Infinity
52,17,64,76,75,141250162,1764,196,165,140,64.0,60.0,83.0,36.0,75.0,18.0,17.859375,Infinity
52,33,64,83,70,141250165,3364,196,105,160,64.0,60.0,83.0,36.0,75.0,18.0,17.859375,Infinity
52,54,60,36,18,141250187,5460,199,207,210,64.0,60.0,83.0,36.0,75.0,18.0,17.859375,Infinity
53,53,0,16,31,141250006,530,207,209,206,0.0,0.0,16.0,5.0,31.0,24.0,17.859375,Infinity
53,53,0,16,30,141250009,530,207,209,207,0.0,0.0,16.0,5.0,31.0,24.0,17.859375,Infinity
53,53,0,5,24,141250015,530,207,211,208,0.0,0.0,16.0,5.0,31.0,24.0,17.859375,Infinity
54,51,0,60,42,141250040,510,207,202,201,0.0,0.0,60.0,48.0,62.0,19.0,17.859375,Infinity
54,51,0,49,19,141250041,510,207,205,209,0.0,0.0,60.0,48.0,62.0,19.0,17.859375,Infinity
54,54,0,48,62,141250100,540,207,206,185,0.0,0.0,60.0,48.0,62.0,19.0,17.859375,Infinity
55,48,0,72,50,141250103,480,207,187,197,0.0,0.0,72.0,0.0,50.0,0.0,17.859375,Infinity
55,54,0,54,36,141250120,540,207,204,203,0.0,0.0,72.0,0.0,50.0,0.0,17.859375,Infinity
55,0,0,0,0,158351013,00,207,212,212,0.0,0.0,72.0,0.0,50.0,0.0,17.859375,Infinity
